Country Name,Average,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Benin,6.812826529,,,,,,7.314070029,,,,,7.186413893,,,,,6.568058715,,,,,6.182763481,
Latvia,6.799570505,11.55654179,10.88273166,11.15213896,10.33135123,9.531928213,9.982538946,9.28486605,9.174736719,8.760611942,7.942585202,5.595068879,5.752232473,4.275607477,4.558260789,5.034239823,3.303682001,3.29750207,3.387576499,2.450038809,3.174406349,3.362334725,
Samoa,6.798277924,,,,,,,,,,,,,,,8.656790711,8.592680111,,,3.145362949,,,
Pakistan,6.77387883,,6.931456887,6.930046573,7.434970027,6.606207971,6.429244008,6.774648763,6.543884471,6.327545565,6.376164525,6.355676151,6.396170731,6.583798539,7.369017847,7.477420775,7.733340716,7.957090728,7.782519641,7.669804066,7.155089095,5.008963092,4.408395266
Uruguay,6.72307291,,,,,,6.44336687,6.552246805,6.941579248,5.923677178,6.016673405,5.713234136,6.064166689,5.808833679,6.595392656,6.720679919,6.075127096,5.877793872,7.860392366,7.629096788,7.8372977,8.538410608,7.694270457
British Virgin Islands,6.710045214,,10.8,0,0,5,,4.742708086,4.64489758,9.090909091,17.74544164,,8.366450533,,,,,,,,,,
Peru,6.679095654,,,,,,,,,,,,,,,,,5.43346975,6.525422655,6.585810062,6.702535347,7.161371581,7.665964527
Zambia,6.630998731,,,,9.006349683,10.77916143,7.567973362,,,,,,,,5.304789591,6.034295756,5.877242314,6.049875652,6.020433965,5.721559986,5.281360817,5.297943485,
Thailand,6.459830644,7.614397394,7.42472636,7.856072936,8.694399449,8.095033125,8.167346937,7.900122062,7.082528342,9.966702477,6.573620527,7.345763049,7.120485419,6.699839559,5.971830512,5.536627738,5.436787393,4.897073351,4.898002813,4.246947213,3.87185762,3.476672648,3.239437244
American Samoa,6.128579432,,,,,,,1.71895144,11.91874819,5.074682409,6.749460043,10.14919314,6.820119352,1.727026234,5.260389269,3.557009977,8.986825314,9.038322487,3.621220351,5.424268176,5.411548244,7.202405603,5.397100678
Turkmenistan,6.012019867,6.423098321,7.826247923,8.256474702,7.849306064,7.214412103,5.912140281,5.433734729,5.227763459,5.004573923,4.443595885,4.332608918,4.220282094,,,,,,,,,,
Bermuda,5.710660246,,6.482877101,3.226326827,0,3.197186476,0,4.663961569,1.547748027,3.083089255,1.536924614,3.070781514,4.610915574,4.623066017,7.736943907,9.330824378,10.9450247,12.58237524,9.496826477,7.965461758,6.412106056,6.451300744,12.96012494
Georgia,5.666758192,7.71314365,5.408289827,5.787308493,4.996202475,5.077895753,5.061351415,5.629085635,6.313677328,6.595208385,6.573535695,8.982408966,7.276584088,7.516168303,6.059190225,4.897735287,4.419068541,,,,2.705176355,,0.9896170395
United States,5.63858193,8.112683408,7.292303034,6.678321943,6.150310368,5.557464494,5.527287911,6.681706246,5.644735132,5.698767508,5.519941654,5.672086302,5.811756258,5.698028919,5.433885685,5.031097436,4.76993703,4.713369325,4.741244976,4.537982773,4.458030477,4.964536493,5.353325095
Kiribati,5.461349828,,,,,,3.554249698,4.658855319,,,,,,,7.110930516,0.9943520802,3.896660562,10.51062529,7.503775337,,,,
Cuba,5.295110629,,,,,,5.264226505,5.408284347,5.892316971,5.709262478,5.857845532,6.061544349,5.099044965,5.024909129,4.553591528,4.991782554,4.45599336,4.702918654,5.455913147,5.905977366,5.244862068,5.400721306,4.987686431
"Korea, Dem. People’s Rep.",5.217209959,,,,,,6.632036478,,,,,5.046326683,,,,,4.7946353,,,,,4.395841376,
Sri Lanka,5.181534271,,,,,,,,,6.817481501,7.107999995,6.243419185,10.3913793,,10.03718471,5.474447283,3.777535723,3.603245816,3.309741632,3.015506279,2.681398812,2.351062371,2.54954291
Somalia,4.996471895,,,,,,5.432824956,,,,,4.964398743,,,,,5.280206935,,,,,4.308456945,
Sudan,4.922545699,,,,,,,,,,,,,4.68055071,5.164540688,,,,,,,,
Cameroon,4.913480355,,,,,,3.005060679,4.817531373,6.409743905,6.067644425,,,,,4.104298258,6.571451464,5.002379761,4.06911214,4.174101192,,,,
Burundi,4.824715157,,,,,,,,,,,,,,4.152326326,4.429245222,3.958056013,3.859121925,5.364973803,5.416561721,5.701698075,4.519931328,6.020521997
Solomon Islands,4.743051928,,,,,,,,,,4.363725225,5.533268779,4.777513284,5.274475595,3.766276758,,,,,,,,
Niger,4.656877463,,,,,,,,,,,,,,,,,4.869720046,4.444034881,,,,
Angola,4.602755855,,,,,,,,,,,,,,,,,4.356162308,4.849349402,,,,
"Yemen, Rep.",4.596812126,,,,,,3.899360689,,,3.617289534,3.227245868,4.591183751,4.2295719,3.907757611,3.909396646,4.309044872,4.655442405,5.669587336,6.48736255,6.658502344,,,
Mozambique,4.594274661,,,,,4.871395631,,5.917555116,5.433743905,5.29503112,5.563020779,5.204781134,4.148980323,3.826325906,4.355103687,3.498545298,3.612507202,3.404305825,,,,,
Turkey,4.580502132,,,,,,,,,4.292903878,4.34874389,4.867207987,4.607101699,5.171179029,4.623791199,5.175276393,4.236320659,4.169762601,4.312733989,,,,
Afghanistan,4.470958322,,,,,,,,,,,,,,,3.981527,3.412819153,4.143581459,6.345905676,,,,
"Micronesia, Fed. Sts.",4.426957671,,,,,,3.962336839,,,,,4.579968782,,,,,4.490879634,,,,,4.674645428,
